created_at,ward_id,title,description,sub_category_id,civic_agency_id,location,address,latitude,longitude,ward_title,category_id,category_title,sub_category_title,civic_agency_title,complaint_status_title,comment_count
01-04-2019 12:26,85,Foot over bridge,"Hi Sir, 

Its finding difficult to cross the road from kalamandir bus stop to the other side. The vehicles do not slow down and there is no signal too.  
It would be helpfull to all the pedestrians if there was a foot over bridge near kalamandir bus stop. 

Thanks
Vinay",61,10,"No. 1/24, K. R. Puram Hobli, Ward No. 85, Near, Marathahalli - Sarjapur Outer Ring Rd, Anand Nagar, Aswath Nagar, East Taluk, Bengaluru, Karnataka 560037, India",Kalamandir bus stop,12.9598424,77.7016049,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Construction of new footpaths,BBMP,Resolved,3
01-10-2019 09:17,85,Unsterilized Stray Dogs,"There are a lot of unsterilized stray dogs in Balaji Enclave, Doddanakundi, request your help in getting all of them sterilized",77,10,"Balaji Enclave, 2Nd A Main Rd, Vibhutipura Extension, Balaji Enclive, Doddanekundi, Bengaluru, Karnataka 560037, India",Near AK Mini Super Market,12.970211,77.6912873,Dodda Nekkundi,19,Animal Husbandry,Stray Dog Sterilisation/Animal Birth Control (ABC),BBMP,Resolved,3
1/13/2019 10:45,85,Need Speedbreakers immediately,"Dear Sir

It has been observed that there are regular accidents infront of the GSA wavewoods apartment society as there is no presence of any speedbreaker on this strech.Vehicles coming from kundalhalli colony are speeding at a very high rate infront of GSA WAVEWOODS as if its a race course and are totally ignoring that this is a residential area",347,10,"2Nd Main Road, 3Rd Cross Rd, Doddanakundi Industrial Area 2, Phase 1, Doddanekkundi, Bengaluru, Karnataka 560048, India",Gsa wavewoods,12.97367544,77.70899208,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Need Lane Markings/Street Name/Road Signages,BBMP,Open,4
1/13/2019 11:04,85,"No Road, No Footpath, No Streetlights","There is no paved road leading to the apartment. It was promised to be fixed 5 years ago and till now there has been no effort. 
The way to the apartment is horribly muddy and dug up, gutter lids are popping up the road and absolutely no street lights or footpath.",352,10,"Shri Thirumalaraya Swamy Temple Rd, Thubarahalli, Whitefield, Bengaluru, Karnataka 560066, India",Road leading to UKn Esperanza Thubarahalli,12.9547154,77.7209938,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Mud/Kutcha/Unpaved Road,BBMP,Resolved,2
1/13/2019 12:14,85,No streetlight and speedbreaker,There are no streetlight and speedbreaker on the 2nd main road near gsa wavewood apartment.This place has become the most busiest junction after two nearby IT parks and it has become dangerous to cross the street,165,10,"2Nd Main Rd, Doddanakundi Industrial Area 2, Phase 1, Doddanekkundi, Bengaluru, Karnataka 560048, India",Gsa wavewoods,12.97340424,77.7090805,Dodda Nekkundi,470,Streetlights,Installation Of New Streetlights,BBMP,Resolved,4
1/24/2019 11:09,85,Garbage pile up and foul smell,"Hi, Next to my house (no. 48) garbage has piled up and some foul smell started coming from it. People from nearby Ambedkar colony are dumping their waste here though pourkarmika truck is coming here every alternate day. Request you to please clear the garbage as soon as possible due to the foul smell.",155,10,"275, Shanbogh Layout, Doddanekundi, Doddanekkundi, Bengaluru, Karnataka 560037, India","Opposite to Varun Star Vision, cable TV office",12.96985935,77.69480638,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,5
1/27/2019 18:17,85,"Debris dumping, slums and open defecation","There is a lot of Debris dumping, slums and open defecation by children living in slums in Balaji Enclave ,near Bharathi Towers, Doddanekundi, Bangalore 560037",155,10,"Balaji Enclave, 2Nd A Main Rd, Vibhutipura Extension, Balaji Enclive, Doddanekundi, Bengaluru, Karnataka 560037, India","Near Bharathi Towers, 2A Balaji Enclave",12.9702349,77.6912164,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,9
1/30/2019 8:06,85,"Garbage all around that place , from the bustop to the hospital and further","There is so much garbage , nobody comes and picks up the garbage , u all really need to check if they r doing there work",155,10,"Spice Garden Layout, Lakshminarayana Pura, Aecs Layout, Chinnapanna Halli, Bengaluru, Karnataka 560037, India",Spice garden opportunity the hospital medall,12.9580044,77.7089009,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,2
02-01-2019 07:59,85,Violation of lane discipline on a two way.,Violation of lane discipline on a two way.,199,5,"Sri Shiradi Sai Complex, 47, Varthur Rd, Kumarapalli, Thubarahalli, Brookefield, Bengaluru, Karnataka 560066, India",NULL,12.95573645,77.71848751,Dodda Nekkundi,21,Traffic and Road Safety,Violating lane discipline,BTP,Closed,2
02-03-2019 10:54,85,No Street Light,"This main road is connecting to hoodi circle, graphite india main road and outer ring road, but no street is provided. Very difficult to walk on night times.",62,10,"35/b, Ferns Paradise, Doddanekkundi, Bengaluru, Karnataka 560048, India",Ashraya Layout main road,12.98047107,77.70678513,Dodda Nekkundi,470,Streetlights,Maintenance/Repair Of Streetlights,BBMP,Re-opened,10
02-03-2019 11:30,85,Provided hump not as per standard,"Height of the hump is more and during vehicle crossing, vehicle bottom is touching the hump. Same type of hump provided in two location on same road.",66,10,"3Rd Main Rd, Doddanakundi Industrial Area 2, Phase 1, Doddanekkundi, Bengaluru, Karnataka 560048, India","3rd main road, whitefield bypass road",12.97512345,77.7068334,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Fixing/Reparing Potholes,BBMP,Resolved,6
02-03-2019 17:14,85,Poor condition of the road,This is regarding road asphalting problem faced by residents of Pragathi layout. Since from last Lok Sabha elections this is the problem faced by us.. thanks to the political rivalry... shame on our helplessness.,67,10,"18, 12Th Cross Rd, Pragathi Layout, Doddanekundi, Doddanekkundi, Bengaluru, Karnataka 560037, India",Near doddanekundi lake,12.97304286,77.69298634,Dodda Nekkundi,15,"Mobility - Roads, Footpaths and Infrastructure",Tarring Or Asphalting Of Existing Road,BBMP,Resolved,4
02-10-2019 10:58,85,This is empty plot near our apartment. 3 month age I filed the co...,This is empty plot near our apartment. 3 month age I filed the complain but nothing was done. This plot is become dumping yard. So many mosquitoes and mouses coming to our apartment and most shame full thing is People also passes their urine. We can't open our windows. Do something,155,10,"567, 2Nd Cross Rd D Block, Aecs Layout - D Block, Aecs Layout, Marathahalli, Bengaluru, Karnataka 560037, India",NULL,12.9634177,77.7107915,Dodda Nekkundi,6,Garbage and Unsanitary Practices,Clearance Of Garbage Dump Or Black Spot,BBMP,Resolved,3
